Drug idxs,Drug IDs
182,DB00374
745,DB08895
758,DB00006
819,DB01609
822,DB00441
826,DB06228
985,DB01223
988,DB00651
991,DB06414
994,DB01303
997,DB01265
1000,DB00277
1096,DB00727
1099,DB00208
1973,DB00771
1976,DB01409
1979,DB01036
1982,DB00376
1985,DB00662
1988,DB00209
2506,DB01041
3198,DB00035
3371,DB01551
3706,DB06769
3709,DB06813
3946,DB01013
3949,DB00838
4230,DB01193
4233,DB00335
4236,DB00612
4239,DB01136
4242,DB00647
4245,DB00280
4248,DB00584
4251,DB00668
4254,DB00187
4257,DB01039
4260,DB00472
4263,DB00999
4266,DB00678
4269,DB00104
4272,DB00806
4275,DB01278
4278,DB00635
4281,DB00178
4328,DB00195
4331,DB01295
4335,DB00521
4340,DB00598
4343,DB00264
4346,DB01203
4349,DB01580
4352,DB01359
4355,DB00960
4358,DB01297
4361,DB00571
4367,DB00489
4370,DB00373
4801,DB00284
4804,DB00672
4810,DB01120
4813,DB00222
4816,DB01067
4819,DB01016
4832,DB00331
4835,DB00491
4838,DB00731
4841,DB01132
4844,DB00412
4847,DB06335
4850,DB01261
4853,DB00839
4856,DB01124
4995,DB00775
5195,DB00758
5204,DB00569
5210,DB01009
5219,DB00500
5223,DB06684
5226,DB00682
5889,DB00495
6221,DB00488
6224,DB00276
6227,DB00928
6230,DB00993
6236,DB00443
6239,DB00290
6242,DB01008
6245,DB01101
6248,DB00958
6251,DB00262
6254,DB00291
6257,DB00515
6260,DB00242
6263,DB00631
6267,DB01380
6270,DB00531
6273,DB00091
6276,DB00987
6279,DB00851
6285,DB00970
6288,DB00694
6291,DB01234
6294,DB01248
6297,DB00997
6303,DB00445
6306,DB00530
6309,DB01196
6312,DB00773
6315,DB00322
6318,DB01073
6321,DB00687
6324,DB00544
6327,DB00317
6331,DB00741
6334,DB01005
6340,DB01177
6343,DB01181
6346,DB00619
6349,DB00762
6352,DB00480
6355,DB01206
6358,DB00888
6361,DB01042
6364,DB01033
6367,DB00563
6370,DB00959
6373,DB00305
6376,DB01204
6382,DB00688
6385,DB01024
6391,DB01280
6394,DB04868
6397,DB00526
6400,DB01229
6403,DB00552
6406,DB00860
6410,DB01168
6417,DB00877
6420,DB00398
6423,DB00428
6426,DB01268
6429,DB00864
6432,DB00853
6435,DB06287
6438,DB00444
6442,DB00352
6445,DB04572
6449,DB01030
6455,DB00755
6458,DB00620
6461,DB00385
6464,DB00570
6467,DB00541
6470,DB00361
6544,DB08822
6549,DB00880
6552,DB00966
6555,DB01162
6560,DB00214
6563,DB00519
6566,DB01021
6569,DB00177
6572,DB00661
6761,DB08810
7198,DB01592
7906,DB00819
7909,DB00437
7912,DB01118
7915,DB01351
7918,DB00681
7921,DB00701
7924,DB01352
7927,DB01072
7930,DB01076
7933,DB00207
7936,DB01393
7939,DB00559
7942,DB01156
7945,DB00237
7948,DB00241
7951,DB01353
7954,DB00564
7958,DB00520
7961,DB00439
7964,DB00446
7967,DB00608
7970,DB01597
7973,DB00537
7976,DB01211
7979,DB01190
7982,DB01394
7985,DB01406
7988,DB00586
7991,DB00390
7997,DB00343
8000,DB04855
8003,DB00625
8006,DB00199
8009,DB00977
8012,DB00754
8015,DB00749
8019,DB00973
8022,DB00573
8025,DB08874
8028,DB00196
8032,DB00712
8035,DB01095
8038,DB01319
8041,DB00529
8044,DB01320
8050,DB00400
8053,DB01354
8056,DB01355
8059,DB01050
8063,DB01598
8066,DB00224
8069,DB00328
8072,DB01167
8075,DB01321
8078,DB01026
8082,DB00227
8085,DB00939
8088,DB00784
8092,DB00532
8095,DB01357
8098,DB00474
8102,DB00422
8105,DB00849
8108,DB01233
8111,DB00745
8114,DB00461
8117,DB00607
8120,DB00788
8123,DB01149
8126,DB00220
8129,DB00622
8132,DB01115
8135,DB01059
8139,DB00338
8142,DB01083
8145,DB00991
8148,DB00776
8151,DB00312
8154,DB01174
8157,DB00252
8160,DB00554
8163,DB08860
8166,DB01263
8169,DB00175
8172,DB00794
8175,DB01599
8178,DB01182
8181,DB00339
8184,DB01346
8187,DB01369
8190,DB00912
8193,DB00615
8196,DB01045
8200,DB00503
8203,DB01098
8206,DB00778
8209,DB01232
8212,DB00418
8215,DB00658
8218,DB01105
8221,DB00641
8228,DB00359
8231,DB01582
8234,DB01015
8237,DB00795
8240,DB01138
8243,DB00605
8247,DB00306
8250,DB00706
8253,DB05521
8256,DB00976
8259,DB00469
8262,DB00857
8265,DB00894
8268,DB00624
8271,DB01420
8274,DB00599
8277,DB01600
8281,DB00932
8284,DB00684
8291,DB00193
8298,DB00656
8301,DB00197
8307,DB01586
8311,DB00582
8498,DB01253
9064,DB06697
9068,DB06708
9073,DB01623
9076,DB00539
9079,DB00726
9083,DB02546
9086,DB00246
9089,DB01624
9147,DB00106
9327,DB00388
9414,DB04865
9422,DB08880
11609,DB00118
11789,DB06700
11796,DB00752
11801,DB00285
11805,DB00315
13379,DB00126
13827,DB00746
15977,DB00136
16083,DB00169
19787,DB00150
19986,DB01247
20455,DB00153
23161,DB00158
23803,DB00162
24301,DB00459
24304,DB00307
24307,DB00982
24324,DB00163
25212,DB01436
25215,DB06723
25218,DB02300
25228,DB06410
25232,DB00910
25235,DB00364
26557,DB08873
26563,DB01241
26585,DB00176
26737,DB01418
26740,DB00918
26744,DB00321
26747,DB00543
26750,DB00182
26753,DB01125
26756,DB06216
26759,DB00637
26763,DB00865
26767,DB00395
26770,DB01166
26773,DB01242
26776,DB00363
26779,DB01151
26783,DB01191
26786,DB01576
26789,DB00266
26792,DB00937
26795,DB00320
26798,DB01142
26801,DB00476
26805,DB00216
26808,DB06210
26811,DB00696
26815,DB00574
26819,DB00998
26823,DB00458
26828,DB00601
26831,DB01356
26834,DB00579
26838,DB00933
26841,DB00333
26844,DB01577
26847,DB00379
26850,DB00370
26853,DB01171
26856,DB00952
26859,DB00540
26862,DB00334
26866,DB00497
26869,DB01579
26872,DB00780
26875,DB00191
26878,DB00397
26882,DB00344
26885,DB00980
26888,DB01367
26891,DB00953
26894,DB01656
26897,DB00268
26900,DB00296
26903,DB01037
26908,DB00669
26911,DB00382
26915,DB00342
26919,DB00730
26922,DB00679
26927,DB00697
26936,DB00427
27053,DB01143
27056,DB00594
27061,DB01345
27067,DB00384
27261,DB01395
27264,DB06196
27269,DB00421
27364,DB00180
27484,DB00181
27821,DB00477
27826,DB00623
27829,DB01170
27834,DB01403
27837,DB00715
27840,DB00850
27844,DB00433
27847,DB01069
27850,DB01608
27855,DB00831
28269,DB00185
28366,DB00872
28379,DB00186
28658,DB01322
28662,DB00313
28754,DB00414
28758,DB00575
28766,DB01288
28769,DB00983
28774,DB01289
28778,DB01382
28786,DB01064
28789,DB00281
28792,DB00247
28795,DB00816
28798,DB00236
28801,DB01291
28805,DB00457
28808,DB01366
28812,DB01001
28815,DB00938
28819,DB00871
28842,DB00188
28999,DB00189
29257,DB01063
29260,DB01246
29264,DB00392
29272,DB00902
29280,DB00420
29285,DB00777
29289,DB00372
29297,DB00508
29591,DB06274
29594,DB00357
29601,DB00673
29607,DB01200
29610,DB00248
29616,DB00501
29619,DB01012
29622,DB00215
29627,DB00257
29631,DB00907
29635,DB00924
29638,DB00496
29641,DB01264
29644,DB00705
29651,DB00514
29656,DB01075
29669,DB01175
29678,DB00614
29681,DB00502
29688,DB00951
29693,DB01259
29698,DB01255
29701,DB01601
29704,DB00934
29710,DB00353
29713,DB00916
29716,DB01110
29725,DB00238
29735,DB01186
29738,DB00454
29751,DB00205
29754,DB00908
29757,DB00468
29760,DB00243
29766,DB01201
29773,DB01104
29777,DB06268
29784,DB00759
30032,DB06709
30203,DB00802
30206,DB00404
30213,DB01558
30218,DB00482
30221,DB00475
30225,DB00604
30228,DB01068
30231,DB00628
30236,DB00829
30241,DB00700
30245,DB01215
30249,DB01590
30252,DB00813
30255,DB06702
30258,DB00690
30263,DB00801
30268,DB08820
30274,DB00683
30278,DB04938
30282,DB01100
30285,DB01589
30292,DB06207
30297,DB00675
30307,DB06212
30313,DB00897
30316,DB00440
30320,DB00580
30329,DB00549
30333,DB00425
30570,DB00717
30965,DB06237
30969,DB01158
30974,DB00490
30992,DB00204
31003,DB01023
31008,DB00365
31012,DB05039
31017,DB01137
31020,DB01627
31030,DB00218
31034,DB06589
31039,DB01224
31054,DB00203
31061,DB01208
31078,DB00862
31085,DB08828
31093,DB01198
31272,DB00201
31547,DB00640
31556,DB06213
31563,DB08881
31589,DB00202
31666,DB00479
31672,DB01057
31675,DB00798
31679,DB00955
31682,DB00319
31851,DB00883
31854,DB01020
31861,DB06154
31867,DB01080
31995,DB00436
31999,DB00310
32004,DB08868
32008,DB00808
32014,DB00524
32160,DB00206
32248,DB00841
32251,DB00988
32257,DB01364
32262,DB06704
32266,DB01365
32269,DB00610
32272,DB00723
32275,DB00368
32283,DB00852
32288,DB04844
32550,DB00945
32553,DB06403
32562,DB00349
32577,DB05246
32581,DB00665
32585,DB00738
32591,DB01390
32682,DB00572
32685,DB00972
32688,DB00245
32691,DB00810
32694,DB01237
32697,DB00835
32700,DB00748
32703,DB01114
32707,DB00283
32713,DB01176
32717,DB00979
32720,DB00434
32725,DB00967
32728,DB00405
32731,DB00804
32734,DB00985
32738,DB00843
32742,DB00366
32745,DB00470
32748,DB00450
32751,DB00950
32754,DB01148
32757,DB00875
32761,DB00674
32764,DB00986
32768,DB00725
32771,DB00557
32774,DB00424
32778,DB00332
32782,DB00920
32785,DB00455
32788,DB00408
32792,DB00737
32795,DB04843
32799,DB00940
32802,DB00462
32806,DB01618
32809,DB00486
32814,DB01173
32817,DB01062
32822,DB01619
32826,DB06153
32829,DB00761
32834,DB00387
32838,DB00782
32843,DB00734
32846,DB00989
32849,DB00747
32852,DB01591
33041,DB00211
33152,DB01384
33256,DB00213
33369,DB01066
33373,DB06695
33376,DB08912
33379,DB01254
33382,DB00467
33388,DB08864
33512,DB00263
34181,DB01370
34187,DB01244
34191,DB01373
34203,DB01378
34206,DB01377
34222,DB01593
34391,DB01048
34394,DB05812
34405,DB06772
34409,DB01410
34415,DB01219
34431,DB02703
34441,DB08901
34444,DB01588
34458,DB00820
34468,DB00906
34486,DB00909
34508,DB00221
34564,DB00494
34671,DB01296
34864,DB00736
34873,DB00448
34877,DB08815
34889,DB01129
35237,DB08827
35242,DB00627
35252,DB08816
35280,DB00228
35410,DB05271
35497,DB00230
35607,DB00231
35794,DB00232
35908,DB00233
36336,DB00882
36345,DB00255
36350,DB00254
36355,DB00783
36366,DB00555
36369,DB00367
36372,DB00603
36375,DB00351
36505,DB05294
37010,DB01097
37013,DB00337
37109,DB01128
37118,DB00954
37123,DB00308
37129,DB00680
37132,DB01035
37171,DB00244
37662,DB00915
37668,DB00714
37671,DB01169
37685,DB00757
37688,DB01184
37696,DB01195
37703,DB01044
37706,DB01218
37711,DB04946
37716,DB00270
37720,DB01235
37728,DB00358
37739,DB00556
37744,DB00413
37755,DB06176
37765,DB06402
37870,DB01612
37881,DB01613
38117,DB00250
38501,DB00732
38504,DB06626
38511,DB08907
38519,DB00269
38538,DB01119
38544,DB00822
38548,DB01135
38555,DB04573
38558,DB00655
38561,DB04574
38566,DB04953
38569,DB00949
38577,DB00695
38580,DB00996
38594,DB00643
38602,DB00553
38606,DB01336
38609,DB01011
38615,DB01226
38618,DB00401
38625,DB03585
38628,DB01337
38632,DB08883
38635,DB00812
38640,DB01058
38646,DB04575
38650,DB08896
38655,DB06201
38662,DB00576
38676,DB00273
38684,DB04571
38688,DB01199
38691,DB08867
38695,DB01339
38941,DB01060
38944,DB00415
38949,DB01574
38952,DB01061
38955,DB00355
38958,DB01602
38961,DB01053
38967,DB00258
38970,DB01164
38974,DB00578
38977,DB00766
38980,DB01147
38984,DB01000
38987,DB00485
38994,DB00926
38997,DB00301
39002,DB00739
39016,DB01603
39019,DB00948
39023,DB00713
39026,DB00417
39032,DB01604
39035,DB01605
39045,DB01606
39049,DB01607
39208,DB00481
39406,DB01222
39534,DB00630
39537,DB06724
39541,DB01212
39545,DB00720
39548,DB00618
39553,DB01077
39556,DB01155
39559,DB00710
39563,DB00451
39566,DB00279
39569,DB01583
39572,DB00978
39575,DB01017
39578,DB00779
39582,DB01165
39585,DB00884
39590,DB01133
39593,DB06824
39596,DB00685
39796,DB00261
40227,DB01275
40234,DB08893
40411,DB00316
40427,DB01330
40430,DB01331
40441,DB00636
40450,DB00509
40455,DB00861
40461,DB01628
40469,DB01185
40480,DB01437
40493,DB00465
40497,DB00848
40502,DB01283
40508,DB00814
40512,DB00763
40518,DB00648
40538,DB00550
40543,DB00863
40552,DB00560
40740,DB01267
41302,DB01194
41310,DB04835
41338,DB00274
41431,DB01032
41447,DB00275
41823,DB00787
41843,DB04854
41848,DB01159
41866,DB00487
41881,DB00533
41900,DB00744
41927,DB00278
42351,DB08865
43280,DB00449
43310,DB04896
43803,DB00289
43888,DB01388
43894,DB01103
43907,DB01392
44317,DB00294
44399,DB00295
44798,DB00297
44908,DB00298
44978,DB00299
45057,DB01575
45078,DB00300
45190,DB00900
45193,DB01610
45265,DB00931
45270,DB00595
45273,DB01301
45472,DB00304
45636,DB00309
45793,DB00823
45800,DB06713
45804,DB00957
46137,DB01078
46141,DB01396
46529,DB08909
46532,DB06218
46536,DB00393
46718,DB03225
46760,DB06204
47279,DB00318
47523,DB01338
47526,DB00728
48041,DB00323
48223,DB00325
48302,DB00326
48345,DB00327
48703,DB00887
48711,DB00903
50007,DB01587
50413,DB01056
50673,DB00381
50981,DB00346
51086,DB00347
51350,DB00350
51622,DB01250
51878,DB00356
52489,DB06145
52768,DB01594
52779,DB01544
52794,DB01595
52798,DB00842
53613,DB00968
54353,DB00964
54356,DB00542
54361,DB00484
54365,DB00796
54368,DB01197
54374,DB04846
54378,DB01340
54382,DB04920
54387,DB04838
54390,DB00633
54393,DB01144
54398,DB00975
54401,DB00590
54408,DB00876
54418,DB00492
54422,DB00629
54425,DB01018
54431,DB00774
54436,DB01029
54444,DB01210
54447,DB00722
54452,DB00742
54458,DB00703
54461,DB01214
54465,DB00691
54471,DB04861
54481,DB01054
54487,DB01113
54492,DB00790
54495,DB00925
54498,DB00692
54503,DB01324
54507,DB00881
54511,DB01399
54523,DB00797
54530,DB03904
55384,DB03128
55388,DB01122
55393,DB01238
55400,DB01019
55406,DB00411
55423,DB00944
55436,DB01010
55448,DB00536
55484,DB01085
55491,DB01087
55498,DB00818
55539,DB00383
55716,DB01342
55730,DB01347
55733,DB01348
55736,DB01349
56164,DB01089
56178,DB01626
56419,DB00562
56422,DB06616
56433,DB00606
56449,DB01611
56464,DB00859
56472,DB01325
56490,DB01157
56971,DB00396
57929,DB00402
60066,DB00423
60561,DB00921
60565,DB00611
60570,DB01563
60575,DB00856
60593,DB01209
60608,DB00898
60611,DB00593
60619,DB04841
60633,DB00956
60641,DB01202
60644,DB00854
60649,DB00653
60656,DB00660
60668,DB00844
60677,DB01192
60682,DB00652
60692,DB01621
60705,DB00899
60713,DB00708
60732,DB00962
61280,DB01578
61284,DB00830
61713,DB00438
61803,DB01172
61810,DB01082
62048,DB00650
62462,DB01294
62473,DB01397
62481,DB00545
62490,DB01401
62894,DB00447
63062,DB06209
63840,DB00456
64884,DB06781
65044,DB00927
65049,DB00585
65447,DB00471
66444,DB01326
66447,DB01139
66450,DB01327
66453,DB01328
66456,DB01329
66459,DB00923
66462,DB00493
66467,DB01333
66470,DB01332
66474,DB01112
66478,DB01111
68039,DB00901
68188,DB01117
68193,DB01004
68197,DB00811
68203,DB00649
68535,DB00499
68707,DB00642
68883,DB01452
69063,DB00517
69077,DB01625
69105,DB00505
69218,DB06605
69252,DB08906
69259,DB08882
69694,DB00512
69777,DB05260
70649,DB01240
70663,DB01088
71452,DB00528
72410,DB01375
74321,DB08814
75380,DB02443
75394,DB01298
75397,DB06150
75400,DB01299
75403,DB01581
75409,DB00891
75412,DB06147
75658,DB00565
75805,DB00567
77571,DB06413
77636,DB00588
77652,DB04845
77655,DB01221
77683,DB03575
77705,DB08877
79663,DB00753
80302,DB01228
81774,DB01028
82256,DB01400
82285,DB00621
85871,DB00654
85940,DB00905
87922,DB00671
88344,DB01614
88347,DB01615
88351,DB01616
88355,DB00719
88362,DB01239
88373,DB01081
88376,DB01146
88413,DB01622
88423,DB00792
89045,DB04871
89064,DB06144
89438,DB06705
89469,DB08804
89472,DB00984
89482,DB06412
89490,DB01022
89629,DB05631
89778,DB03450
89788,DB00709
90245,DB00689
91671,DB01043
92373,DB00943
93373,DB00718
94585,DB06267
94799,DB00969
97102,DB00935
98576,DB00765
99979,DB01831
100000,DB00781
105627,DB00833
105715,DB00834
105793,DB06699
105797,DB06663
108768,DB04626
109164,DB00869
110186,DB00879
111482,DB08826
111497,DB01405
111877,DB08872
112279,DB00904
113856,DB00917
113952,DB01282
114965,DB00929
115086,DB06777
117910,DB00963
118531,DB00971
120402,DB00990
124157,DB08903
124183,DB08918
124194,DB08910
124721,DB01140
124726,DB01413
124732,DB01150
124741,DB02588
126126,DB08884
127881,DB01065
133117,DB01362
134121,DB01131
137471,DB01227
147281,DB08897
147696,DB06717
148780,DB08875
150500,DB04272
153101,DB01408
156486,DB01483
156818,DB01491
157219,DB01501
158010,DB01529
158963,DB06767
266679,DB04220
303106,DB06817
309497,DB06703
309693,DB06706
309696,DB06707
312048,DB06802
